recording_id,t,ball_id,x,y
rec_1,2.85,3,113.37,170.94
rec_1,2.85,4,183.05,19.87
rec_1,2.85,5,93.14,35.52
rec_1,2.85,6,159.61,133.44
rec_1,2.85,7,296.35,75.11
rec_1,2.85,8,89.97,114.71
rec_1,2.85,9,102.8,36.86
rec_1,2.9,0,134.58,171.32
rec_1,2.9,1,150.11,175.05
rec_1,2.9,2,224.02,298.09
rec_1,2.9,3,106.49,167.96
rec_1,2.9,4,175.55,19.9
rec_1,2.9,5,98.26,41.0
rec_1,2.9,6,152.81,136.61
rec_1,2.9,7,297.23,82.55
rec_1,2.9,8,95.81,109.99
rec_1,2.9,9,110.24,35.91
rec_1,2.95,0,130.99,164.73
rec_1,2.95,1,156.41,179.13
rec_1,2.95,2,227.97,304.47
rec_1,2.95,3,99.55,165.1
rec_1,2.95,4,168.05,19.93
rec_1,2.95,5,102.9,46.89
rec_1,2.95,6,145.92,139.57
rec_1,2.95,7,298.11,90.0
rec_1,2.95,8,101.64,105.28
rec_1,2.95,9,117.65,34.81
rec_1,3.0,0,127.21,158.25
rec_1,3.0,1,162.68,183.24
rec_1,3.0,2,231.91,310.85
rec_1,3.0,3,92.58,162.35
rec_1,3.0,4,160.55,19.96
rec_1,3.0,5,107.09,53.11
rec_1,3.0,6,138.91,142.22
rec_1,3.0,7,298.99,97.45
rec_1,3.0,8,107.48,100.57
rec_1,3.0,9,125.03,33.45
rec_1,3.05,0,123.15,151.95
rec_1,3.05,1,168.95,187.36
rec_1,3.05,2,235.86,317.23
rec_1,3.05,3,85.56,159.7
rec_1,3.05,4,153.05,19.92
rec_1,3.05,5,110.96,59.54
rec_1,3.05,6,131.78,144.56
rec_1,3.05,7,299.86,104.9
rec_1,3.05,8,113.33,95.88
rec_1,3.05,9,132.36,31.89
rec_1,3.1,0,118.64,145.96
rec_1,3.1,1,175.21,191.49
rec_1,3.1,2,239.8,322
rec_1,3.1,3,78.51,157.14
rec_1,3.1,4,145.55,19.62
rec_1,3.1,5,114.71,66.03
rec_1,3.1,6,124.59,146.67
rec_1,3.1,7,300.74,112.35
rec_1,3.1,8,119.29,91.32
rec_1,3.1,9,139.7,30.33
rec_1,3.15,0,113.82,140.21
rec_1,3.15,1,181.48,195.61
rec_1,3.15,2,243.75,315.62
rec_1,3.15,3,71.44,154.63
rec_1,3.15,4,138.11,18.72
rec_1,3.15,5,118.53,72.49
rec_1,3.15,6,117.49,149.09
rec_1,3.15,7,301.62,119.8
rec_1,3.15,8,125.47,87.08
rec_1,3.15,9,147.12,29.25
rec_1,3.2,0,109.16,134.34
rec_1,3.2,1,187.74,199.73
rec_1,3.2,2,247.69,309.24
rec_1,3.2,3,64.37,152.15
rec_1,3.2,4,130.72,18.41
rec_1,3.2,5,122.37,78.93
rec_1,3.2,6,110.65,152.17
rec_1,3.2,7,302.49,127.25
rec_1,3.2,8,131.98,83.36
rec_1,3.2,9,154.6,28.69
rec_1,3.25,0,104.74,128.28
rec_1,3.25,1,194.01,203.85
rec_1,3.25,2,251.64,302.87
rec_1,3.25,3,57.29,149.67
rec_1,3.25,4,123.3,19.53
rec_1,3.25,5,125.85,85.57
rec_1,3.25,6,104.06,155.75
rec_1,3.25,7,303.37,134.69
rec_1,3.25,8,138.73,80.09
rec_1,3.25,9,162.09,28.34
rec_1,3.3,0,100.49,122.1
rec_1,3.3,1,200.28,207.97
rec_1,3.3,2,255.58,296.49
rec_1,3.3,3,50.21,147.2
rec_1,3.3,4,115.88,20.59
rec_1,3.3,5,128.77,92.47
rec_1,3.3,6,97.64,159.61
rec_1,3.3,7,304.25,142.14
rec_1,3.3,8,145.5,76.87
rec_1,3.3,9,169.58,28.03
rec_1,3.35,0,96.25,115.91
rec_1,3.35,1,206.54,212.1
rec_1,3.35,2,259.53,290.11
rec_1,3.35,3,43.13,144.72
rec_1,3.35,4,108.45,21.65
rec_1,3.35,5,131.37,99.51
rec_1,3.35,6,91.29,163.61
rec_1,3.35,7,305.13,149.59
rec_1,3.35,8,152.22,73.54
rec_1,3.35,9,177.08,27.73
rec_1,3.4,0,91.89,109.81
rec_1,3.4,1,212.81,216.22
rec_1,3.4,2,263.47,283.73
rec_1,3.4,3,36.05,142.24
rec_1,3.4,4,101.03,22.71
rec_1,3.4,5,133.89,106.57
rec_1,3.4,6,84.95,167.62
rec_1,3.4,7,306.0,157.04
rec_1,3.4,8,158.9,70.12
rec_1,3.4,9,184.57,27.42
rec_1,3.45,0,87.47,103.75
rec_1,3.45,1,219.07,220.34
rec_1,3.45,2,267.42,277.35
rec_1,3.45,3,28.97,139.77
rec_1,3.45,4,93.6,23.77
rec_1,3.45,5,136.44,113.63
rec_1,3.45,6,78.61,171.63
rec_1,3.45,7,306.88,164.49
rec_1,3.45,8,165.55,66.66
rec_1,3.45,9,192.06,27.11
rec_1,3.5,0,83.05,97.69
rec_1,3.5,1,225.34,224.46
rec_1,3.5,2,271.37,270.97
rec_1,3.5,3,21.89,137.29
rec_1,3.5,4,86.18,24.83
rec_1,3.5,5,139.0,120.68
rec_1,3.5,6,72.27,175.64
rec_1,3.5,7,307.76,171.94
rec_1,3.5,8,172.21,63.21
rec_1,3.5,9,199.56,26.8
rec_1,3.55,0,78.63,91.63
rec_1,3.55,1,231.6,228.58
rec_1,3.55,2,275.31,264.6
rec_1,3.55,3,20.36,134.81
rec_1,3.55,4,78.75,25.88
rec_1,3.55,5,141.55,127.73
rec_1,3.55,6,65.94,179.65
rec_1,3.55,7,308.63,179.38
rec_1,3.55,8,178.87,59.77
rec_1,3.55,9,207.05,26.48
rec_1,3.6,0,74.21,85.57
rec_1,3.6,1,237.87,232.71
rec_1,3.6,2,279.26,258.22
rec_1,3.6,3,27.44,132.34
rec_1,3.6,4,71.33,26.94
rec_1,3.6,5,144.1,134.78
rec_1,3.6,6,59.6,183.66
rec_1,3.6,7,309.51,186.83
rec_1,3.6,8,185.55,56.35
rec_1,3.6,9,214.54,26.1
rec_1,3.65,0,69.79,79.51
rec_1,3.65,1,244.13,236.83
rec_1,3.65,2,283.21,251.84
rec_1,3.65,3,34.52,129.86
rec_1,3.65,4,63.91,28.0
rec_1,3.65,5,146.66,141.83
rec_1,3.65,6,53.26,187.67
rec_1,3.65,7,310.39,194.28
rec_1,3.65,8,192.24,52.95
rec_1,3.65,9,222.03,25.66
rec_1,3.7,0,65.37,73.46
rec_1,3.7,1,250.39,240.97
rec_1,3.7,2,287.24,245.52
